Q,RELATION,TEXT,DATAFILE,N,,TRIANGULAR,also_allow,ORTHOGONAL,TVERSKY,SATISFICE
1,starttime,Which shift(s) start at 11 am?,acme_impasse,15,,F,"""","""",CF,AOI
2,starts,Which shift(s) start at the same time as D?,acme_impasse,15,,K,D,"""",EKXJ,GB
3,meets,Which shift(s) begin when C ends?,acme_impasse,15,,F,"""","""",AO,IH
4,endtime,Which shift(s) end at 4 pm?,acme_impasse,15,,H,"""","""",,
5,midpoint,Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?,acme_impasse,15,,A,I,"""",,
6,duration,Which shift(s) are six hours long?,acme_main,18,,EG,"""",EG,,
7,duration+starts,Which 2 shifts less than 5 hours long start at the same time?,acme_main,18,,OX,"""",FB,,
8,duration+contained,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",acme_main,18,,G,"""",E,,
9,starttime+before+endtime+during,Which shift(s) begins before J begins and ends during B?,acme_main,18,,I,"""",I,,
10,ends,Which shift(s) end at the same time as F?,acme_main,18,,E,F,X,,
11,starttime,Which shift(s) start at 12pm?,acme_main,18,,ML,"""",FB,,
12,starts,Which shift(s) start at the same time as F?,acme_main,18,,G,F,B,,
13,meets,Which 2 shifts end when Z begins?,acme_main,18,,EF,"""",FX,,
14,endtime,Which shift(s) end at 3pm?,acme_main,18,,X,"""",B,,
15,midpoint,Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?,acme_main,18,,XK,"""",EF,,
