"subject","condition","pretty_condition","study","term","mode","question","q","answer","correct","rt_s","response","num_o","IMPASSE","score_TRI","score_ORTH","score_BOTH","score_SAT_left","score_SAT_right","score_TV_max","score_TV_start","score_TV_end","score_TV_duration","score_REF","score_ABS","score_niceABS","score_TVERSKY","tv_type","score_SATISFICE","sat_type","top_score","top_type","range","int2","interpretation","high_interpretation","override","score_SCALED","score_STATE"
"ZG3VV","1112","arrow","SGC4B","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,33.061,"A",1,"none",-0.0769230769230769,1,0.5,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,1,"score_ORTH",1.07692307692308,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"ZG3VV","1112","arrow","SGC4B","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,10.151,"E",1,"none",-0.0833333333333333,1,0.5,NA,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0,0,-0.0769230769230769,"score_TV_end",NA,NA,1,"score_ORTH",1.08333333333333,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"ZG3VV","1112","arrow","SGC4B","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,15.52,"Z",1,"none",0,1,0.5,NA,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0,0,0,"score_TV_end",NA,NA,1,"score_ORTH",1,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"ZG3VV","1112","arrow","SGC4B","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,145.441,"U",1,"none",-0.0714285714285714,1,0.5,NA,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_start",NA,NA,1,"score_ORTH",1.07142857142857,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"ZG3VV","1112","arrow","SGC4B","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"I,U",FALSE,176.86,"IU",2,"none",-0.0909090909090909,1,0.423076923076923,NA,NA,0.333333333333333,-0.0769230769230769,0.5,NA,0,0,0,0.5,"score_TV_end",NA,NA,1,"score_ORTH",1.09090909090909,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"ZG3VV","1112","arrow","SGC4B","winter22","asynch","Which shift(s) are six hours long?",6,"E,G",TRUE,15.2,"EG",2,"none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"ZG3VV","1112","arrow","SGC4B","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B,F",FALSE,37.408,"BF",2,"none",-0.125,1,0.5,NA,NA,-0.2,-0.125,-0.142857142857143,-0.125,0,0,0,-0.125,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"ZG3VV","1112","arrow","SGC4B","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,78.429,"E",1,"none",-0.0666666666666667,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.06666666666667,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"ZG3VV","1112","arrow","SGC4B","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,32.699,"I",1,"none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"ZG3VV","1112","arrow","SGC4B","winter22","asynch","Which shift(s) end at the same time as F?",10,"F,X",FALSE,127.808,"FX",2,"none",-0.0625,1,0.4375,NA,NA,-0.0714285714285714,-0.0625,-0.0625,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
