"subject","study","term","pool","mode","condition","pretty_condition","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","answer","rt_s"
"W0BU0","SGC4D","summer22","prolific","asynch","11311112","TRI-equilateral","item_scaffold","1","1","3","1","1",600,600,"triangular",2.89715,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",15.961
"W0BU0","SGC4D","summer22","prolific","asynch","11311112","TRI-equilateral","item_scaffold","1","1","3","1","1",600,600,"triangular",3.0917,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",11.595
"W0BU0","SGC4D","summer22","prolific","asynch","11311112","TRI-equilateral","item_scaffold","1","1","3","1","1",600,600,"triangular",6.18661666666667,"Which shift(s) begin when C ends?","meets","3","TRUE","F",185.62
"W0BU0","SGC4D","summer22","prolific","asynch","11311112","TRI-equilateral","item_scaffold","1","1","3","1","1",600,600,"triangular",7.1292,"Which shift(s) end at 4 pm?","endtime","4","TRUE","H",56.376
"W0BU0","SGC4D","summer22","prolific","asynch","11311112","TRI-equilateral","item_scaffold","1","1","3","1","1",600,600,"triangular",7.62876666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE","O",29.868
"W0BU0","SGC4D","summer22","prolific","asynch","11311112","TRI-equilateral","item_nondiscriminant","1","1","3","1","1",600,600,"triangular",8.19576666666667,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",15.578
"W0BU0","SGC4D","summer22","prolific","asynch","11311112","TRI-equilateral","item_test","1","1","3","1","1",600,600,"triangular",8.89038333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F",41.594
"W0BU0","SGC4D","summer22","prolific","asynch","11311112","TRI-equilateral","item_test","1","1","3","1","1",600,600,"triangular",10.9227666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","E",121.861
"W0BU0","SGC4D","summer22","prolific","asynch","11311112","TRI-equilateral","item_nondiscriminant","1","1","3","1","1",600,600,"triangular",11.6661833333333,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",44.414
"W0BU0","SGC4D","summer22","prolific","asynch","11311112","TRI-equilateral","item_test","1","1","3","1","1",600,600,"triangular",15.2473666666667,"Which shift(s) end at the same time as F?","ends","10","FALSE","X",214.793
"W0BU0","SGC4D","summer22","prolific","asynch","11311112","TRI-equilateral","item_test","1","1","3","1","1",600,600,"triangular",15.6538666666667,"Which shift(s) start at 12pm?","starttime","11","FALSE","B,F",24.14
"W0BU0","SGC4D","summer22","prolific","asynch","11311112","TRI-equilateral","item_test","1","1","3","1","1",600,600,"triangular",16.0449666666667,"Which shift(s) start at the same time as F?","starts","12","FALSE","B",23.381
"W0BU0","SGC4D","summer22","prolific","asynch","11311112","TRI-equilateral","item_nondiscriminant","1","1","3","1","1",600,600,"triangular",16.8157666666667,"Which 2 shifts end when Z begins?","meets","13","FALSE","F,X",46.168
"W0BU0","SGC4D","summer22","prolific","asynch","11311112","TRI-equilateral","item_test","1","1","3","1","1",600,600,"triangular",17.1277333333333,"Which shift(s) end at 3pm?","endtime","14","FALSE","B",18.64
"W0BU0","SGC4D","summer22","prolific","asynch","11311112","TRI-equilateral","item_test","1","1","3","1","1",600,600,"triangular",20.6631166666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","E,F",212.034
"OP4AD","SGC4D","summer22","prolific","asynch","11111112","ORTH-equilateral","item_scaffold","1","1","1","1","1",600,600,"triangular",1.04943333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",11.265
"OP4AD","SGC4D","summer22","prolific","asynch","11111112","ORTH-equilateral","item_scaffold","1","1","1","1","1",600,600,"triangular",1.4191,"Which shift(s) start at the same time as D?","starts","2","FALSE","J,E",22.14
"OP4AD","SGC4D","summer22","prolific","asynch","11111112","ORTH-equilateral","item_scaffold","1","1","1","1","1",600,600,"triangular",1.83295,"Which shift(s) begin when C ends?","meets","3","FALSE","O",24.787
"OP4AD","SGC4D","summer22","prolific","asynch","11111112","ORTH-equilateral","item_scaffold","1","1","1","1","1",600,600,"triangular",2.763,"Which shift(s) end at 4 pm?","endtime","4","FALSE","D,E",55.763
"OP4AD","SGC4D","summer22","prolific","asynch","11111112","ORTH-equilateral","item_scaffold","1","1","1","1","1",600,600,"triangular",2.96235,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE","O",11.931
"OP4AD","SGC4D","summer22","prolific","asynch","11111112","ORTH-equilateral","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",3.26228333333333,"Which shift(s) are six hours long?","duration","6","FALSE","F,K",12.353
"OP4AD","SGC4D","summer22","prolific","asynch","11111112","ORTH-equilateral","item_test","1","1","1","1","1",600,600,"triangular",3.45545,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","I,L",11.554
