"subject","study","term","pool","mode","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","discriminant","tri_score","orth_score","other_score","blank_score","answer","rt_s","condition"
"JCKEW","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",0.868833333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE",-1,0,1,0,0,"A",18.706,"111"
"JCKEW","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.01921666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE",-1,0,1,0,0,"E",8.921,"111"
"JCKEW","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.45523333333333,"Which shift(s) begin when C ends?","meets","3","FALSE",-1,0,1,0,0,"Z",26.058,"111"
"JCKEW","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.90823333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-1,0,1,0,0,"U",27.08,"111"
"JCKEW","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",2.77861666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE",-1,0,1,0,0,"U",52.121,"111"
"JCKEW","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",2.95916666666667,"Which shift(s) are six hours long?","duration","6","TRUE",0,2,2,0,0,"E,G",7.703,"111"
"JCKEW","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.33971666666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-1,0,2,0,0,"B,F",22.734,"111"
"JCKEW","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.44473333333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-1,0,1,0,0,"E",66.191,"111"
"JCKEW","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",5.0019,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE",0,1,1,0,0,"I",32.765,"111"
"JCKEW","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",5.4469,"Which shift(s) end at the same time as F?","ends","10","FALSE",-1,0,1,0,0,"X",26.596,"111"
"JCKEW","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",5.64826666666667,"Which shift(s) start at 12pm?","starttime","11","FALSE",-1,0,2,0,0,"B,F",11.985,"111"
"JCKEW","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",5.71008333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE",-1,0,1,0,0,"B",3.604,"111"
"JCKEW","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",5.99645,"Which 2 shifts end when Z begins?","meets","13","FALSE",-0.5,1,2,0,0,"F,X",17.083,"111"
"JCKEW","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.39695,"Which shift(s) end at 3pm?","endtime","14","FALSE",-1,0,1,0,0,"B",23.931,"111"
"JCKEW","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",7.13291666666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE",-1,0,2,0,0,"E,F",44.042,"111"
"NBR5N","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",5.13128333333333,"Which shift(s) start at 11 am?","starttime","1","TRUE",1,1,0,0,0,"F",28.246,"121"
"NBR5N","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",5.44166666666667,"Which shift(s) start at the same time as D?","starts","2","TRUE",1,1,0,0,0,"K",18.503,"121"
"NBR5N","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",5.58403333333333,"Which shift(s) begin when C ends?","meets","3","TRUE",1,1,0,0,0,"F",8.434,"121"
"NBR5N","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",5.73565,"Which shift(s) end at 4 pm?","endtime","4","TRUE",1,1,0,0,0,"H",8.991,"121"
"NBR5N","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",6.05786666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE",1,1,0,0,0,"A",19.224,"121"
"NBR5N","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",6.47801666666667,"Which shift(s) are six hours long?","duration","6","TRUE",0,2,2,0,0,"E,G",16.876,"121"
"NBR5N","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.9093,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","TRUE",1,2,0,0,0,"O,X",25.769,"121"
"NBR5N","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",7.8667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","TRUE",1,1,0,0,0,"G",57.334,"121"
"NBR5N","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",9.13973333333333,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE",0,0,0,0,1,"",76.266,"121"
"NBR5N","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",9.31521666666667,"Which shift(s) end at the same time as F?","ends","10","TRUE",1,1,0,0,0,"E",10.222,"121"
"NBR5N","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",9.44138333333333,"Which shift(s) start at 12pm?","starttime","11","TRUE",1,2,0,0,0,"L,M",7.457,"121"
"NBR5N","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",9.6146,"Which shift(s) start at the same time as F?","starts","12","TRUE",1,1,0,0,0,"G",10.288,"121"
"NBR5N","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",9.77695,"Which 2 shifts end when Z begins?","meets","13","TRUE",0.5,2,1,0,0,"E,F",9.617,"121"
"NBR5N","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",9.93571666666667,"Which shift(s) end at 3pm?","endtime","14","TRUE",1,1,0,0,0,"X",9.415,"121"
"NBR5N","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",10.1046333333333,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","TRUE",1,2,0,0,0,"K,X",10.026,"121"
"FPSQJ","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",0.684066666666667,"Which shift(s) start at 11 am?","starttime","1","TRUE",1,1,0,0,0,"F",6.692,"121"
"FPSQJ","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",0.88295,"Which shift(s) start at the same time as D?","starts","2","TRUE",1,1,0,0,0,"K",11.759,"121"
"FPSQJ","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",1.14533333333333,"Which shift(s) begin when C ends?","meets","3","TRUE",1,1,0,0,0,"F",15.598,"121"
"FPSQJ","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",1.3432,"Which shift(s) end at 4 pm?","endtime","4","TRUE",1,1,0,0,0,"H",11.765,"121"
"FPSQJ","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",1.66006666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE",1,1,0,0,0,"A",18.86,"121"
"FPSQJ","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",1.90993333333333,"Which shift(s) are six hours long?","duration","6","TRUE",0,2,2,0,0,"E,G",7.85,"121"
"FPSQJ","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",2.266,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","TRUE",1,2,0,0,0,"O,X",21.205,"121"
"FPSQJ","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",2.99998333333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-0.166666666666667,0,0,2,0,"D,N",43.869,"121"
"FPSQJ","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",3.26001666666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE",0,1,1,0,0,"I",15.439,"121"
"FPSQJ","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.40313333333333,"Which shift(s) end at the same time as F?","ends","10","TRUE",1,1,0,0,0,"E",8.426,"121"
"FPSQJ","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.56343333333333,"Which shift(s) start at 12pm?","starttime","11","TRUE",1,2,0,0,0,"L,M",9.453,"121"
"FPSQJ","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.69348333333333,"Which shift(s) start at the same time as F?","starts","12","TRUE",1,1,0,0,0,"G",7.641,"121"
"FPSQJ","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",3.92508333333333,"Which 2 shifts end when Z begins?","meets","13","TRUE",0.5,2,1,0,0,"E,F",13.739,"121"
"FPSQJ","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.05856666666667,"Which shift(s) end at 3pm?","endtime","14","TRUE",1,1,0,0,0,"X",7.857,"121"
"FPSQJ","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.22413333333333,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","TRUE",1,2,0,0,0,"K,X",9.778,"121"
"S4T2X","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",2.80326666666667,"Which shift(s) start at 11 am?","starttime","1","FALSE",-0.0833333333333333,0,0,0,0,"O",61.135,"121"
"S4T2X","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",3.2721,"Which shift(s) start at the same time as D?","starts","2","FALSE",0,0,0,0,1,"",27.809,"121"
"S4T2X","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",3.76601666666667,"Which shift(s) begin when C ends?","meets","3","FALSE",-0.0833333333333333,0,0,1,0,"X",29.509,"121"
"S4T2X","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",4.33678333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-0.0833333333333333,0,0,1,0,"F",34.133,"121"
"S4T2X","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",4.57395,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE",1,1,0,0,0,"A",14.12,"121"
"S4T2X","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",4.82723333333333,"Which shift(s) are six hours long?","duration","6","TRUE",0,2,2,0,0,"E,G",9.63,"121"
"S4T2X","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",5.18656666666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-1,0,2,0,0,"B,F",21.451,"121"
"S4T2X","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",5.66776666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-1,0,1,0,0,"E",28.762,"121"
"S4T2X","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",5.85281666666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE",0,1,1,0,0,"I",10.994,"121"
"S4T2X","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",7.61458333333333,"Which shift(s) end at the same time as F?","ends","10","FALSE",-0.0833333333333333,0,0,1,0,"G",105.596,"121"
"S4T2X","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",7.78221666666667,"Which shift(s) start at 12pm?","starttime","11","FALSE",-1,0,2,0,0,"B,F",9.754,"121"
"S4T2X","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",7.88868333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE",-1,0,1,0,0,"B",6.276,"121"
"S4T2X","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",8.17996666666667,"Which 2 shifts end when Z begins?","meets","13","FALSE",-0.0833333333333333,1,1,1,0,"B,F",17.363,"121"
"S4T2X","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",8.90708333333333,"Which shift(s) end at 3pm?","endtime","14","FALSE",-1,0,1,0,0,"B",43.515,"121"
"S4T2X","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",9.17741666666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE",-0.583333333333333,0,1,1,0,"B,F",16.108,"121"
"86P6B","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",4.68625,"Which shift(s) start at 11 am?","starttime","1","TRUE",1,1,0,0,0,"F",105.075,"111"
"86P6B","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",5.3685,"Which shift(s) start at the same time as D?","starts","2","TRUE",1,1,0,0,0,"K",40.47,"111"
"86P6B","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",5.54951666666667,"Which shift(s) begin when C ends?","meets","3","TRUE",1,1,0,0,0,"F",10.697,"111"
"86P6B","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",5.74865,"Which shift(s) end at 4 pm?","endtime","4","TRUE",1,1,0,0,0,"H",11.788,"111"
"86P6B","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",7.51976666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE",1,1,0,0,0,"O",106.12,"111"
"86P6B","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",8.50096666666667,"Which shift(s) are six hours long?","duration","6","TRUE",0,2,2,0,0,"E,G",48.095,"111"
"86P6B","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",9.52341666666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","TRUE",1,2,0,0,0,"O,X",61.246,"111"
"86P6B","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",10.5565833333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-0.166666666666667,0,0,2,0,"D,N",61.667,"111"
"86P6B","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",10.8954,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE",0,1,1,0,0,"I",19.988,"111"
"86P6B","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",11.1277833333333,"Which shift(s) end at the same time as F?","ends","10","TRUE",1,1,0,0,0,"E",13.785,"111"
"86P6B","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",11.3260666666667,"Which shift(s) start at 12pm?","starttime","11","TRUE",1,2,0,0,0,"L,M",11.735,"111"
"86P6B","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",11.48705,"Which shift(s) start at the same time as F?","starts","12","TRUE",1,1,0,0,0,"G",9.508,"111"
"86P6B","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",11.7652333333333,"Which 2 shifts end when Z begins?","meets","13","TRUE",0.5,2,1,0,0,"E,F",16.544,"111"
"86P6B","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",11.92925,"Which shift(s) end at 3pm?","endtime","14","TRUE",1,1,0,0,0,"X",9.689,"111"
"86P6B","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",12.5442833333333,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","TRUE",1,2,0,0,0,"K,X",36.74,"111"
"WZFMC","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.11001666666667,"Which shift(s) start at 11 am?","starttime","1","FALSE",-1,0,1,0,0,"A",13.045,"111"
"WZFMC","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.27503333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE",-1,0,1,0,0,"E",9.786,"111"
"WZFMC","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.95391666666667,"Which shift(s) begin when C ends?","meets","3","FALSE",-0.25,0,0,2,0,"A,U,B",40.624,"111"
"WZFMC","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",2.4394,"Which shift(s) end at 4 pm?","endtime","4","FALSE",0,0,0,0,1,"",29.013,"111"
"WZFMC","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",2.72673333333333,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE",1,1,0,0,0,"O",17.116,"111"
"WZFMC","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",2.91556666666667,"Which shift(s) are six hours long?","duration","6","TRUE",0,2,2,0,0,"E,G",9.256,"111"
"WZFMC","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.55818333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-0.583333333333333,0,1,1,0,"F,Z",38.442,"111"
"WZFMC","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.25788333333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-0.166666666666667,0,0,2,0,"I,J",41.859,"111"
