"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","pretty_condition","SHAPE","SCALE","pretty_mode","IMPASSE","score_TRI","score_ORTH","score_BOTH","score_SAT_left","score_SAT_right","score_TV_max","score_TV_start","score_TV_end","score_TV_duration","score_REF","score_ABS","score_niceABS","score_TVERSKY","tv_type","score_SATISFICE","sat_type","top_score","top_type","range","int2","interpretation","high_interpretation","override","score_SCALED","score_STATE"
"2PQSA","113","winter22","asynch","Which shift(s) start at 11 am?",1,"F",TRUE,38.398,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0833333333333333,0.5,NA,NA,0.5,1,-0.0714285714285714,NA,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.08333333333333,"Triangular","Triangular","triangular","",1,"tri-like"
"2PQSA","113","winter22","asynch","Which shift(s) start at the same time as D?",2,"K",TRUE,28.773,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0833333333333333,0.5,NA,NA,0.25,0.5,-0.0769230769230769,-0.0769230769230769,0,1,1,0.5,"score_TV_start",NA,NA,1,"score_TRI",1.08333333333333,"Triangular","Triangular","triangular","",1,"tri-like"
"2PQSA","113","winter22","asynch","Which shift(s) begin when C ends?",3,"F",TRUE,15.035,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,0,0.5,NA,NA,0.166666666666667,-0.0833333333333333,1,-0.0909090909090909,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1,"Triangular","Triangular","triangular","",1,"tri-like"
"2PQSA","113","winter22","asynch","Which shift(s) end at 4 pm?",4,"H",TRUE,7.058,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0833333333333333,0.5,NA,NA,0.5,-0.0714285714285714,1,NA,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.08333333333333,"Triangular","Triangular","triangular","",1,"tri-like"
"2PQSA","113","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O",TRUE,20.12,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0769230769230769,0.5,NA,NA,-0.142857142857143,-0.0769230769230769,-0.0833333333333333,NA,0,1,1,-0.0769230769230769,"score_TV_start",NA,NA,1,"score_TRI",1.07692307692308,"Triangular","Triangular","triangular","",1,"tri-like"
"2PQSA","113","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,9.582,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"2PQSA","113","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"OX",TRUE,35.07,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.133333333333333,0.5,NA,NA,0.25,1,-0.142857142857143,-0.125,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.13333333333333,"Triangular","Triangular","triangular","",1,"tri-like"
"2PQSA","113","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"AG",FALSE,70.912,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",0.933333333333333,-0.142857142857143,0.4375,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0.933333333333333,"score_TRI",1.07619047619048,"Tversky","Tversky","pos.trans","Triangular",0.5,"tri-like"
"2PQSA","113","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"",FALSE,71.223,0,"Tri-Isosceles","TRI","isosceles","online-replication","none",0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,"score_TRI",0,"blank","blank","neutral","",0,"unknown"
"2PQSA","113","winter22","asynch","Which shift(s) end at the same time as F?",10,"E",TRUE,13.551,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0625,0.5,NA,NA,0.333333333333333,-0.0625,1,-0.0625,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.0625,"Triangular","Triangular","triangular","",1,"tri-like"
"2PQSA","113","winter22","asynch","Which shift(s) start at 12pm?",11,"LM",TRUE,9.106,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.125,0.5,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",1.125,"Triangular","Triangular","triangular","",1,"tri-like"
