"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","score_TRI","score_ORTH","score_SATISFICE","score_TV_max","score_TV_start","score_TV_end","score_TV_duration","score_REF","score_BOTH","score_ABS","score_niceABS","score_TVERSKY","tv_type","top_score","top_type","range","interpretation","score_SCALED"
"JCKEW","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,18.706,1,-0.0769230769230769,1,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_end",1,"score_ORTH",1.07692307692308,"Orthogonal",-1
"JCKEW","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,8.921,1,-0.0833333333333333,1,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0.5,0,0,-0.0769230769230769,"score_TV_end",1,"score_ORTH",1.08333333333333,"?",0
"JCKEW","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,26.058,1,0,1,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0.5,0,0,0,"score_TV_end",1,"score_ORTH",1,"?",0
"JCKEW","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,27.08,1,-0.0714285714285714,1,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_start",1,"score_ORTH",1.07142857142857,"Orthogonal",-1
"JCKEW","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U",FALSE,52.121,1,-0.0909090909090909,1,NA,0.333333333333333,-0.0769230769230769,0.5,NA,0,0.5,0,0,0.5,"score_TV_end",1,"score_ORTH",1.09090909090909,"?",0
"NBR5N","121","winter22","asynch","Which shift(s) start at 11 am?",1,"F",TRUE,28.246,1,1,NA,-0.0833333333333333,0.5,1,-0.0714285714285714,NA,NA,1,1,1,1,"score_TV_start",1,"score_TRI",1.08333333333333,"both tri + orth",0
"NBR5N","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"K",TRUE,18.503,1,1,NA,-0.0769230769230769,0.333333333333333,1,-0.0769230769230769,-0.0769230769230769,0,1,1,1,1,"score_TV_start",1,"score_TRI",1.07692307692308,"both tri + orth",0
"NBR5N","121","winter22","asynch","Which shift(s) begin when C ends?",3,"F",TRUE,8.434,1,-0.0769230769230769,NA,0.333333333333333,-0.0833333333333333,-0.0769230769230769,NA,-0.0769230769230769,0,-0.0714285714285714,1,0,-0.0769230769230769,"score_TV_start",0.333333333333333,"score_SATISFICE",0.41025641025641,"?",0
"NBR5N","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"H",TRUE,8.991,1,1,NA,-0.0769230769230769,0.5,-0.0714285714285714,1,NA,NA,1,1,1,1,"score_TV_end",1,"score_TRI",1.07692307692308,"both tri + orth",0
"NBR5N","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"A",TRUE,19.224,1,1,NA,-0.0769230769230769,-0.0833333333333333,-0.0833333333333333,NA,NA,0,1,1,1,-0.0833333333333333,"score_TV_max",1,"score_TRI",1.08333333333333,"both tri + orth",0
"FPSQJ","121","winter22","asynch","Which shift(s) start at 11 am?",1,"F",TRUE,6.692,1,1,NA,-0.0833333333333333,0.5,1,-0.0714285714285714,NA,NA,1,1,1,1,"score_TV_start",1,"score_TRI",1.08333333333333,"both tri + orth",0
"FPSQJ","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"K",TRUE,11.759,1,1,NA,-0.0769230769230769,0.333333333333333,1,-0.0769230769230769,-0.0769230769230769,0,1,1,1,1,"score_TV_start",1,"score_TRI",1.07692307692308,"both tri + orth",0
"FPSQJ","121","winter22","asynch","Which shift(s) begin when C ends?",3,"F",TRUE,15.598,1,-0.0769230769230769,NA,0.333333333333333,-0.0833333333333333,-0.0769230769230769,NA,-0.0769230769230769,0,-0.0714285714285714,1,0,-0.0769230769230769,"score_TV_start",0.333333333333333,"score_SATISFICE",0.41025641025641,"?",0
"FPSQJ","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"H",TRUE,11.765,1,1,NA,-0.0769230769230769,0.5,-0.0714285714285714,1,NA,NA,1,1,1,1,"score_TV_end",1,"score_TRI",1.07692307692308,"both tri + orth",0
"FPSQJ","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"A",TRUE,18.86,1,1,NA,-0.0769230769230769,-0.0833333333333333,-0.0833333333333333,NA,NA,0,1,1,1,-0.0833333333333333,"score_TV_max",1,"score_TRI",1.08333333333333,"both tri + orth",0
"S4T2X","121","winter22","asynch","Which shift(s) start at 11 am?",1,"O",FALSE,61.135,1,-0.0714285714285714,NA,0.333333333333333,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",0.333333333333333,"score_SATISFICE",0.404761904761905,"?",0
"S4T2X","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"",FALSE,27.809,0,0,NA,0,0,0,0,0,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
