"subject","condition","pretty_condition","study","term","mode","q","question","correct","rt_s","response","num_o","ROTATION","SHAPE"
"CT1PY","113112","TRI-45","SGC4C","summer22","asynch",1,"Which shift(s) start at 11 am?",TRUE,31.813,"F",1,"45","TRI"
"CT1PY","113112","TRI-45","SGC4C","summer22","asynch",2,"Which shift(s) start at the same time as D?",TRUE,28.321,"K",1,"45","TRI"
"CT1PY","113112","TRI-45","SGC4C","summer22","asynch",3,"Which shift(s) begin when C ends?",TRUE,12.521,"F",1,"45","TRI"
"CT1PY","113112","TRI-45","SGC4C","summer22","asynch",4,"Which shift(s) end at 4 pm?",FALSE,44.259,"B",1,"45","TRI"
"CT1PY","113112","TRI-45","SGC4C","summer22","asynch",5,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",FALSE,65.844,"",0,"45","TRI"
"CT1PY","113112","TRI-45","SGC4C","summer22","asynch",6,"Which shift(s) are six hours long?",TRUE,7.817,"EG",2,"45","TRI"
"CT1PY","113112","TRI-45","SGC4C","summer22","asynch",7,"Which 2 shifts less than 5 hours long start at the same time?",TRUE,14.014,"OX",2,"45","TRI"
"CT1PY","113112","TRI-45","SGC4C","summer22","asynch",8,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",FALSE,38.445,"AK",2,"45","TRI"
"CT1PY","113112","TRI-45","SGC4C","summer22","asynch",9,"Which shift(s) begins before J begins and ends during B?",TRUE,18.369,"I",1,"45","TRI"
"CT1PY","113112","TRI-45","SGC4C","summer22","asynch",10,"Which shift(s) end at the same time as F?",TRUE,27.746,"E",1,"45","TRI"
"CT1PY","113112","TRI-45","SGC4C","summer22","asynch",11,"Which shift(s) start at 12pm?",TRUE,10.083,"LM",2,"45","TRI"
"CT1PY","113112","TRI-45","SGC4C","summer22","asynch",12,"Which shift(s) start at the same time as F?",TRUE,14.039,"G",1,"45","TRI"
"CT1PY","113112","TRI-45","SGC4C","summer22","asynch",13,"Which 2 shifts end when Z begins?",FALSE,23.105,"",0,"45","TRI"
"CT1PY","113112","TRI-45","SGC4C","summer22","asynch",14,"Which shift(s) end at 3pm?",FALSE,10.581,"",0,"45","TRI"
"CT1PY","113112","TRI-45","SGC4C","summer22","asynch",15,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",FALSE,48.532,"ACX",3,"45","TRI"
"F1E89","113112","TRI-45","SGC4C","summer22","asynch",1,"Which shift(s) start at 11 am?",FALSE,17.366,"CF",2,"45","TRI"
"F1E89","113112","TRI-45","SGC4C","summer22","asynch",2,"Which shift(s) start at the same time as D?",FALSE,21.76,"AK",2,"45","TRI"
"F1E89","113112","TRI-45","SGC4C","summer22","asynch",3,"Which shift(s) begin when C ends?",TRUE,40.897,"F",1,"45","TRI"
"F1E89","113112","TRI-45","SGC4C","summer22","asynch",4,"Which shift(s) end at 4 pm?",TRUE,16.521,"H",1,"45","TRI"
"F1E89","113112","TRI-45","SGC4C","summer22","asynch",5,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",FALSE,23.521,"AO",2,"45","TRI"
"F1E89","113112","TRI-45","SGC4C","summer22","asynch",6,"Which shift(s) are six hours long?",TRUE,8.743,"EG",2,"45","TRI"
"F1E89","113112","TRI-45","SGC4C","summer22","asynch",7,"Which 2 shifts less than 5 hours long start at the same time?",TRUE,27.166,"OX",2,"45","TRI"
"F1E89","113112","TRI-45","SGC4C","summer22","asynch",8,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",TRUE,52.412,"G",1,"45","TRI"
"F1E89","113112","TRI-45","SGC4C","summer22","asynch",9,"Which shift(s) begins before J begins and ends during B?",TRUE,20.022,"I",1,"45","TRI"
"F1E89","113112","TRI-45","SGC4C","summer22","asynch",10,"Which shift(s) end at the same time as F?",TRUE,4.494,"E",1,"45","TRI"
"F1E89","113112","TRI-45","SGC4C","summer22","asynch",11,"Which shift(s) start at 12pm?",TRUE,8.582,"LM",2,"45","TRI"
"F1E89","113112","TRI-45","SGC4C","summer22","asynch",12,"Which shift(s) start at the same time as F?",TRUE,4.426,"G",1,"45","TRI"
"F1E89","113112","TRI-45","SGC4C","summer22","asynch",13,"Which 2 shifts end when Z begins?",TRUE,9.266,"EF",2,"45","TRI"
"F1E89","113112","TRI-45","SGC4C","summer22","asynch",14,"Which shift(s) end at 3pm?",TRUE,6.306,"X",1,"45","TRI"
"F1E89","113112","TRI-45","SGC4C","summer22","asynch",15,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",TRUE,23.522,"KX",2,"45","TRI"
"TTB8O","113112","TRI-45","SGC4C","summer22","asynch",1,"Which shift(s) start at 11 am?",TRUE,19.775,"F",1,"45","TRI"
"TTB8O","113112","TRI-45","SGC4C","summer22","asynch",2,"Which shift(s) start at the same time as D?",TRUE,12.89,"K",1,"45","TRI"
"TTB8O","113112","TRI-45","SGC4C","summer22","asynch",3,"Which shift(s) begin when C ends?",FALSE,58.034,"AUB",3,"45","TRI"
"TTB8O","113112","TRI-45","SGC4C","summer22","asynch",4,"Which shift(s) end at 4 pm?",FALSE,38.072,"ACU",3,"45","TRI"
"TTB8O","113112","TRI-45","SGC4C","summer22","asynch",5,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",FALSE,22.949,"U",1,"45","TRI"
"TTB8O","113112","TRI-45","SGC4C","summer22","asynch",6,"Which shift(s) are six hours long?",TRUE,13.755,"EG",2,"45","TRI"
"TTB8O","113112","TRI-45","SGC4C","summer22","asynch",7,"Which 2 shifts less than 5 hours long start at the same time?",FALSE,14.502,"FZ",2,"45","TRI"
"TTB8O","113112","TRI-45","SGC4C","summer22","asynch",8,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",FALSE,50.656,"O",1,"45","TRI"
"TTB8O","113112","TRI-45","SGC4C","summer22","asynch",9,"Which shift(s) begins before J begins and ends during B?",FALSE,24.083,"M",1,"45","TRI"
"TTB8O","113112","TRI-45","SGC4C","summer22","asynch",10,"Which shift(s) end at the same time as F?",FALSE,6.921,"Z",1,"45","TRI"
"TTB8O","113112","TRI-45","SGC4C","summer22","asynch",11,"Which shift(s) start at 12pm?",TRUE,10.618,"LM",2,"45","TRI"
"TTB8O","113112","TRI-45","SGC4C","summer22","asynch",12,"Which shift(s) start at the same time as F?",TRUE,25.864,"G",1,"45","TRI"
"TTB8O","113112","TRI-45","SGC4C","summer22","asynch",13,"Which 2 shifts end when Z begins?",FALSE,56.068,"BO",2,"45","TRI"
"TTB8O","113112","TRI-45","SGC4C","summer22","asynch",14,"Which shift(s) end at 3pm?",TRUE,7.637,"X",1,"45","TRI"
"TTB8O","113112","TRI-45","SGC4C","summer22","asynch",15,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",FALSE,38.467,"DN",2,"45","TRI"
"8SWVG","113112","TRI-45","SGC4C","summer22","asynch",1,"Which shift(s) start at 11 am?",TRUE,11.875,"F",1,"45","TRI"
"8SWVG","113112","TRI-45","SGC4C","summer22","asynch",2,"Which shift(s) start at the same time as D?",FALSE,15.953,"X",1,"45","TRI"
"8SWVG","113112","TRI-45","SGC4C","summer22","asynch",3,"Which shift(s) begin when C ends?",TRUE,21.584,"F",1,"45","TRI"
"8SWVG","113112","TRI-45","SGC4C","summer22","asynch",4,"Which shift(s) end at 4 pm?",FALSE,73.445,"U",1,"45","TRI"
"8SWVG","113112","TRI-45","SGC4C","summer22","asynch",5,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",FALSE,26.585,"U",1,"45","TRI"
"8SWVG","113112","TRI-45","SGC4C","summer22","asynch",6,"Which shift(s) are six hours long?",FALSE,7.476,"G",1,"45","TRI"
"8SWVG","113112","TRI-45","SGC4C","summer22","asynch",7,"Which 2 shifts less than 5 hours long start at the same time?",TRUE,19.259,"OX",2,"45","TRI"
"8SWVG","113112","TRI-45","SGC4C","summer22","asynch",8,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",FALSE,14.409,"J",1,"45","TRI"
"8SWVG","113112","TRI-45","SGC4C","summer22","asynch",9,"Which shift(s) begins before J begins and ends during B?",FALSE,24.859,"J",1,"45","TRI"
"8SWVG","113112","TRI-45","SGC4C","summer22","asynch",10,"Which shift(s) end at the same time as F?",FALSE,21.692,"X",1,"45","TRI"
"8SWVG","113112","TRI-45","SGC4C","summer22","asynch",11,"Which shift(s) start at 12pm?",TRUE,13.255,"LM",2,"45","TRI"
"8SWVG","113112","TRI-45","SGC4C","summer22","asynch",12,"Which shift(s) start at the same time as F?",TRUE,66.347,"G",1,"45","TRI"
"8SWVG","113112","TRI-45","SGC4C","summer22","asynch",13,"Which 2 shifts end when Z begins?",FALSE,12.432,"GO",2,"45","TRI"
"8SWVG","113112","TRI-45","SGC4C","summer22","asynch",14,"Which shift(s) end at 3pm?",TRUE,39.727,"X",1,"45","TRI"
"8SWVG","113112","TRI-45","SGC4C","summer22","asynch",15,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",FALSE,12.047,"C",1,"45","TRI"
"6YNOF","113112","TRI-45","SGC4C","summer22","asynch",1,"Which shift(s) start at 11 am?",TRUE,21.174,"F",1,"45","TRI"
"6YNOF","113112","TRI-45","SGC4C","summer22","asynch",2,"Which shift(s) start at the same time as D?",TRUE,15.974,"K",1,"45","TRI"
"6YNOF","113112","TRI-45","SGC4C","summer22","asynch",3,"Which shift(s) begin when C ends?",TRUE,51.826,"F",1,"45","TRI"
"6YNOF","113112","TRI-45","SGC4C","summer22","asynch",4,"Which shift(s) end at 4 pm?",TRUE,40.557,"H",1,"45","TRI"
"6YNOF","113112","TRI-45","SGC4C","summer22","asynch",5,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",TRUE,36.73,"O",1,"45","TRI"
