Q,RELATION,TEXT,DATAFILE,CORRECT,TRIANGULAR,also,ORTHOGONAL,TVERSKY,SATISFICE,TVEND,TVSTART
1,starttime,Which shift(s) start at 11 am?,acme_control,F,F,,A,,,,
2,starts,Which shift(s) start at the same time as D?,acme_control,K,K,D,E,,,,
3,meets,Which shift(s) begin when C ends?,acme_control,F,F,,Z,,,,
4,endtime,Which shift(s) end at 4 pm?,acme_control,H,H,,U,,,,
5,midpoint,Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?,acme_control,O,O,I,U,,,,
6,duration,Which shift(s) are six hours long?,acme_main,EG,EG,,EG,,,,
7,duration+starts,Which 2 shifts less than 5 hours long start at the same time?,acme_main,OX,OX,,FB,,,,
8,duration+contained,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",acme_main,G,G,,E,,,,
9,starttime+before+endtime+during,Which shift(s) begins before J begins and ends during B?,acme_main,I,I,,I,,,,
10,ends,Which shift(s) end at the same time as F?,acme_main,E,E,F,X,,,,
11,starttime,Which shift(s) start at 12pm?,acme_main,ML,ML,,FB,,,,
12,starts,Which shift(s) start at the same time as F?,acme_main,G,G,F,B,,,,
13,meets,Which 2 shifts end when Z begins?,acme_main,EF,EF,,FX,,,,
14,endtime,Which shift(s) end at 3pm?,acme_main,X,X,,B,,,,
15,midpoint,Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?,acme_main,XK,XK,,EF,,,,
