"subject","condition","pretty_condition","study","term","mode","question","q","answer","correct","rt_s","response","num_o","score_TRI","score_ORTH","score_SAT_left","score_SAT_right","score_TV_max","score_TV_start","score_TV_end","score_TV_duration","score_REF","score_BOTH","score_ABS","score_niceABS","score_TVERSKY","tv_type","score_SATISFICE","sat_type","top_score","top_type","range","int2","interpretation","high_interpretation","score_SCALED","score_STATE"
"CT1PY","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) start at 11 am?",1,"F",TRUE,31.813,"F",1,1,-0.0833333333333333,NA,NA,0.5,1,-0.0714285714285714,NA,0,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.08333333333333,"Triangular","Triangular","triangular",1,"tri-like"
"CT1PY","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) start at the same time as D?",2,"K",TRUE,28.321,"K",1,1,-0.0833333333333333,NA,NA,0.25,0.5,-0.0769230769230769,-0.0769230769230769,0,0,1,1,0.5,"score_TV_start",NA,NA,1,"score_TRI",1.08333333333333,"Triangular","Triangular","triangular",1,"tri-like"
"CT1PY","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) begin when C ends?",3,"F",TRUE,12.521,"F",1,1,0,NA,NA,0.166666666666667,-0.0833333333333333,1,-0.0909090909090909,0,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1,"Triangular","Triangular","triangular",1,"tri-like"
"CT1PY","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) end at 4 pm?",4,"B",FALSE,44.259,"B",1,-0.0714285714285714,-0.0833333333333333,NA,NA,0.5,1,-0.0714285714285714,NA,0,0,0,0,1,"score_TV_start",NA,NA,1,"score_TVERSKY",1.08333333333333,"Tversky","Tversky","pos.trans",0.5,"tri-like"
"CT1PY","113112","TRI-rotate-45","SGC4C","summer22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"",FALSE,65.844,"",0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,"score_TV_max",NA,NA,0,"score_TRI",0,"blank","blank","neutral",0,"unknown"
"CT1PY","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) are six hours long?",6,"E,G",TRUE,7.817,"EG",2,1,1,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5,"tri-like"
"CT1PY","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"O,X",TRUE,14.014,"OX",2,1,-0.133333333333333,NA,NA,0.25,1,-0.142857142857143,-0.125,0,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.13333333333333,"Triangular","Triangular","triangular",1,"tri-like"
"CT1PY","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"A,K",FALSE,38.445,"AK",2,-0.133333333333333,-0.142857142857143,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,-0.133333333333333,"score_TRI",0.00952380952380952,"?","?","neg.trans",-0.5,"unknown"
"CT1PY","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,18.369,"I",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5,"tri-like"
"CT1PY","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) end at the same time as F?",10,"E",TRUE,27.746,"E",1,1,-0.0625,NA,NA,0.333333333333333,-0.0625,1,-0.0625,0,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.0625,"Triangular","Triangular","triangular",1,"tri-like"
"CT1PY","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) start at 12pm?",11,"L,M",TRUE,10.083,"LM",2,1,-0.125,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,1,"score_TRI",1.125,"Triangular","Triangular","triangular",1,"tri-like"
"CT1PY","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) start at the same time as F?",12,"G",TRUE,14.039,"G",1,1,-0.0625,NA,NA,0.5,1,NA,-0.0625,0,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.0625,"Triangular","Triangular","triangular",1,"tri-like"
"CT1PY","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which 2 shifts end when Z begins?",13,"",FALSE,23.105,"",0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,"score_TRI",0,"blank","blank","neutral",0,"unknown"
"CT1PY","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) end at 3pm?",14,"",FALSE,10.581,"",0,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,"score_TV_max",NA,NA,0,"score_TRI",0,"blank","blank","neutral",0,"unknown"
"CT1PY","113112","TRI-rotate-45","SGC4C","summer22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"A,C,X",FALSE,48.532,"ACX",3,0.375,-0.2,NA,NA,0.2,-0.176470588235294,NA,NA,0,0,0,0,0.2,"score_TV_max",NA,NA,0.375,"score_TRI",0.575,"Triangular","Triangular","triangular",1,"tri-like"
"6AVLK","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) start at 11 am?",1,"C,F",FALSE,48.017,"CF",2,0.923076923076923,-0.166666666666667,NA,NA,1,0.923076923076923,0.928571428571429,NA,0,0,0,0,1,"score_TV_max",NA,NA,1,"score_TVERSKY",1.16666666666667,"Tversky","Tversky","pos.trans",0.5,"tri-like"
"6AVLK","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) start at the same time as D?",2,"A,K",FALSE,33.806,"AK",2,0.916666666666667,-0.166666666666667,NA,NA,0.5,1,-0.153846153846154,-0.153846153846154,0,0,0,0,1,"score_TV_start",NA,NA,1,"score_TVERSKY",1.16666666666667,"Tversky","Tversky","pos.trans",0.5,"tri-like"
"6AVLK","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) begin when C ends?",3,"F",TRUE,36.195,"F",1,1,0,NA,NA,0.166666666666667,-0.0833333333333333,1,-0.0909090909090909,0,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1,"Triangular","Triangular","triangular",1,"tri-like"
"6AVLK","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) end at 4 pm?",4,"H",TRUE,11.687,"H",1,1,-0.0833333333333333,NA,NA,0.5,-0.0714285714285714,1,NA,0,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.08333333333333,"Triangular","Triangular","triangular",1,"tri-like"
"6AVLK","113112","TRI-rotate-45","SGC4C","summer22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O",TRUE,116.931,"O",1,1,-0.0769230769230769,NA,NA,-0.142857142857143,-0.0769230769230769,-0.0833333333333333,NA,0,0,1,1,-0.0769230769230769,"score_TV_start",NA,NA,1,"score_TRI",1.07692307692308,"Triangular","Triangular","triangular",1,"tri-like"
"6AVLK","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) are six hours long?",6,"E,G",TRUE,16.257,"EG",2,1,1,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5,"tri-like"
"6AVLK","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"O,X",TRUE,70.822,"OX",2,1,-0.133333333333333,NA,NA,0.25,1,-0.142857142857143,-0.125,0,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.13333333333333,"Triangular","Triangular","triangular",1,"tri-like"
"6AVLK","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"G",TRUE,68.545,"G",1,1,-0.0714285714285714,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,1,"score_TRI",1.07142857142857,"Triangular","Triangular","triangular",1,"tri-like"
"6AVLK","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) begins before J begins and ends during B?",9,"E",FALSE,33.059,"E",1,-0.0666666666666667,-0.0666666666666667,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,-0.0666666666666667,"score_TRI",0,"?","?","neg.trans",-0.5,"unknown"
"6AVLK","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) end at the same time as F?",10,"G",FALSE,11.908,"G",1,-0.0625,-0.0625,NA,NA,0.333333333333333,1,-0.0625,-0.0625,0,0,0,0,1,"score_TV_start",NA,NA,1,"score_TVERSKY",1.0625,"Tversky","Tversky","pos.trans",0.5,"tri-like"
"6AVLK","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) start at 12pm?",11,"L,M",TRUE,9.163,"LM",2,1,-0.125,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,1,"score_TRI",1.125,"Triangular","Triangular","triangular",1,"tri-like"
"6AVLK","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) start at the same time as F?",12,"G",TRUE,8.868,"G",1,1,-0.0625,NA,NA,0.5,1,NA,-0.0625,0,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.0625,"Triangular","Triangular","triangular",1,"tri-like"
"6AVLK","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which 2 shifts end when Z begins?",13,"E,F",TRUE,36.798,"EF",2,1,0.433333333333333,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,1,"score_TRI",0.566666666666667,"Triangular","Triangular","triangular",1,"tri-like"
"6AVLK","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) end at 3pm?",14,"X",TRUE,12.127,"X",1,1,-0.0588235294117647,NA,NA,0.25,NA,1,-0.0666666666666667,0,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.05882352941176,"Triangular","Triangular","triangular",1,"tri-like"
"6AVLK","113112","TRI-rotate-45","SGC4C","summer22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"K,X",TRUE,65.663,"KX",2,1,-0.133333333333333,NA,NA,0.666666666666667,-0.117647058823529,NA,NA,0,0,1,1,0.666666666666667,"score_TV_max",NA,NA,1,"score_TRI",1.13333333333333,"Triangular","Triangular","triangular",1,"tri-like"
"395C5","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) start at 11 am?",1,"A,O",FALSE,44.755,"AO",2,-0.153846153846154,1,NA,NA,-0.166666666666667,-0.153846153846154,-0.142857142857143,NA,0,0,0,0,-0.142857142857143,"score_TV_end",NA,NA,1,"score_ORTH",1.15384615384615,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"395C5","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) start at the same time as D?",2,"K",TRUE,30.376,"K",1,1,-0.0833333333333333,NA,NA,0.25,0.5,-0.0769230769230769,-0.0769230769230769,0,0,1,1,0.5,"score_TV_start",NA,NA,1,"score_TRI",1.08333333333333,"Triangular","Triangular","triangular",1,"tri-like"
"395C5","113112","TRI-rotate-45","SGC4C","summer22","asynch","Which shift(s) begin when C ends?",3,"F",TRUE,19.072,"F",1,1,0,NA,NA,0.166666666666667,-0.0833333333333333,1,-0.0909090909090909,0,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1,"Triangular","Triangular","triangular",1,"tri-like"
