"subject","study","term","pool","mode","condition","pretty_condition","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","answer","rt_s"
"ZZ7LS","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",1.70513333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",17.044
"ZZ7LS","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",1.88698333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",10.88
"ZZ7LS","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",2.1106,"Which shift(s) begin when C ends?","meets","3","FALSE","Z",13.387
"ZZ7LS","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",2.79165,"Which shift(s) end at 4 pm?","endtime","4","FALSE","U",40.834
"ZZ7LS","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",3.63035,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","O,J",50.286
"ZZ7LS","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_nondiscriminant",1,1,"3","",1,600,600,"triangular",3.7982,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",6.953
"ZZ7LS","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",4.08885,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F",17.403
"ZZ7LS","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",4.7282,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","E",38.327
"ZZ7LS","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_nondiscriminant",1,1,"3","",1,600,600,"triangular",4.93978333333333,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",12.657
"ZZ7LS","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",5.77178333333333,"Which shift(s) end at the same time as F?","ends","10","FALSE","X",49.88
"ZZ7LS","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",5.97406666666667,"Which shift(s) start at 12pm?","starttime","11","FALSE","B,F",12.104
"ZZ7LS","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",6.08565,"Which shift(s) start at the same time as F?","starts","12","FALSE","B",6.656
"ZZ7LS","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_nondiscriminant",1,1,"3","",1,600,600,"triangular",6.98778333333333,"Which 2 shifts end when Z begins?","meets","13","FALSE","X",54.097
"ZZ7LS","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",7.4434,"Which shift(s) end at 3pm?","endtime","14","FALSE","B",27.247
"ZZ7LS","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",7.77805,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","B,F",20.049
"CVHEE","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",2.45475,"Which shift(s) start at 11 am?","starttime","1","FALSE","C,F",33.32
"CVHEE","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",2.71778333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE","A",15.718
"CVHEE","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",2.97473333333333,"Which shift(s) begin when C ends?","meets","3","FALSE","U",15.353
"CVHEE","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",3.77021666666667,"Which shift(s) end at 4 pm?","endtime","4","FALSE","B",47.667
"CVHEE","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",5.74996666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","B",118.728
"CVHEE","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_nondiscriminant",1,1,"3","",1,600,600,"triangular",6.117,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",16.929
"CVHEE","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",6.47901666666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","I,J",21.666
"CVHEE","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",7.21703333333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","C,G",44.216
"CVHEE","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_nondiscriminant",1,1,"3","",1,600,600,"triangular",7.65796666666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE","M",26.4
"CVHEE","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",8.9337,"Which shift(s) end at the same time as F?","ends","10","FALSE","N",76.476
"CVHEE","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",9.18156666666667,"Which shift(s) start at 12pm?","starttime","11","FALSE","",14.685
"CVHEE","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",9.33286666666667,"Which shift(s) start at the same time as F?","starts","12","FALSE","E",9.019
"CVHEE","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_nondiscriminant",1,1,"3","",1,600,600,"triangular",10.5168,"Which 2 shifts end when Z begins?","meets","13","FALSE","B,F",70.979
"CVHEE","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",11.2175,"Which shift(s) end at 3pm?","endtime","14","FALSE","",41.854
"CVHEE","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",11.4712666666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","E,F",15.165
"AY72Z","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",1.32958333333333,"Which shift(s) start at 11 am?","starttime","1","TRUE","F",10.523
"AY72Z","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",1.50345,"Which shift(s) start at the same time as D?","starts","2","TRUE","K",10.325
"AY72Z","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",1.6759,"Which shift(s) begin when C ends?","meets","3","TRUE","F",10.238
"AY72Z","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",3.28053333333333,"Which shift(s) end at 4 pm?","endtime","4","TRUE","H",96.177
"AY72Z","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",4.23201666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","I",56.719
"AY72Z","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_nondiscriminant",1,1,"3","",1,600,600,"triangular",4.49656666666667,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",8.099
"AY72Z","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",4.90281666666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","TRUE","O,X",24.267
"AY72Z","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",6.09843333333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","TRUE","G",71.505
"AY72Z","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_nondiscriminant",1,1,"3","",1,600,600,"triangular",6.90688333333333,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",48.137
"AY72Z","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",7.49616666666667,"Which shift(s) end at the same time as F?","ends","10","TRUE","E",34.985
"AY72Z","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",7.66953333333333,"Which shift(s) start at 12pm?","starttime","11","TRUE","L,M",10.297
"AY72Z","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",7.81738333333333,"Which shift(s) start at the same time as F?","starts","12","TRUE","G",8.764
"AY72Z","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_nondiscriminant",1,1,"3","",1,600,600,"triangular",8.52988333333333,"Which 2 shifts end when Z begins?","meets","13","TRUE","E,F",42.64
"AY72Z","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",8.97078333333333,"Which shift(s) end at 3pm?","endtime","14","TRUE","X",26.344
"AY72Z","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",9.83528333333333,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","X",51.503
"UGDSU","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",2.3605,"Which shift(s) start at 11 am?","starttime","1","TRUE","F",39.029
"UGDSU","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",2.5544,"Which shift(s) start at the same time as D?","starts","2","TRUE","K",11.601
"UGDSU","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",3.07833333333333,"Which shift(s) begin when C ends?","meets","3","TRUE","F",31.405
"UGDSU","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",3.8886,"Which shift(s) end at 4 pm?","endtime","4","TRUE","H",48.586
"UGDSU","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",6.11755,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE","O",133.705
"UGDSU","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_nondiscriminant",1,1,"3","",1,600,600,"triangular",7.03068333333333,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",40.977
"UGDSU","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",7.40816666666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","TRUE","O,X",22.615
"UGDSU","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",9.23531666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","TRUE","G",109.601
"UGDSU","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_nondiscriminant",1,1,"3","",1,600,600,"triangular",10.5978333333333,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",81.664
"UGDSU","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",10.8291833333333,"Which shift(s) end at the same time as F?","ends","10","TRUE","E",13.803
"UGDSU","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",11.0318666666667,"Which shift(s) start at 12pm?","starttime","11","TRUE","L,M",12.129
