"subject","condition","term","mode","q","response","question"
"UQWX4","111","spring18","lab-synch",16,"The events that start at 12 PM will fall on a straight upward line protruding from the 12 PM spot on the x-axis.","Please describe how to determine what event(s) start at 12pm?"
"4RGO3","111","spring18","lab-synch",16,"Look at the x-axis(which is for start & end times) and then follow the time up vertically to see which letters start at a given time. In this case B and F start at 12","Please describe how to determine what event(s) start at 12pm?"
"Z5Z7P","111","spring18","lab-synch",16,"LOOK AT THE X-AXIS FOR 12 pm AND GO UP THE GRAPH","Please describe how to determine what event(s) start at 12pm?"
"YE3VQ","121","spring18","lab-synch",16,"any dots that are placed before 12pm","Please describe how to determine what event(s) start at 12pm?"
"DKL3R","121","spring18","lab-synch",16,"First find 12pm on the x-axis and then go up from the 12pm point and find any dots that represent events.","Please describe how to determine what event(s) start at 12pm?"
"781AU","111","spring18","lab-synch",16,"Look at the x-axis (start and end time) and then look up the graph","Please describe how to determine what event(s) start at 12pm?"
"CC7G0","111","spring18","lab-synch",16,"shifts on the line that start at 12 and goes upper right direction","Please describe how to determine what event(s) start at 12pm?"
"A9CZD","111","spring18","lab-synch",16,"There are two diagonal lines leading away from 12PM. The one towards the left means any events ending at 12pm and one towards the right is any events starting at 12pm. You can follow the right line to see that M and L both start at 12pm since they are both on this line.","Please describe how to determine what event(s) start at 12pm?"
"DOQRP","121","spring18","lab-synch",16,"F and B begin there shift.","Please describe how to determine what event(s) start at 12pm?"
"Q8EDD","111","spring18","lab-synch",16,"you look at the time on the bottom and then look at what dots are on that line","Please describe how to determine what event(s) start at 12pm?"
"RGJZL","121","spring18","lab-synch",16,"I look at the x-axis for ""START & END TIME (time of day)"" and search for 12PM. Then I scan vertically up to see which shift(s) is/are directly on that 12 PM line.","Please describe how to determine what event(s) start at 12pm?"
"W7EBS","111","spring18","lab-synch",16,"Find the point of 12 PM at x axis and the line that begins at this point and positive","Please describe how to determine what event(s) start at 12pm?"
"EGP0T","111","spring18","lab-synch",16,"lOOK AT THE X-AXIS FOR 12 PM AND SEE THE DOTS THAT MATCH UP WITH IT.","Please describe how to determine what event(s) start at 12pm?"
"CK5DF","111","spring18","lab-synch",16,"Read the x axis indicated start and end time. Upon reaching the 12 pm marker read vertically upward. The dots that fall on this line are those starting at 12 pm. They end at a time indicated by the y axis which reads duration (in hours).","Please describe how to determine what event(s) start at 12pm?"
"9BBMD","111","spring18","lab-synch",16,"find 12pm on the x axis and see which plot points are above it","Please describe how to determine what event(s) start at 12pm?"
"UX4QZ","111","spring18","lab-synch",16,"look up 12 on the x axis and then follow from that point up the y axis.","Please describe how to determine what event(s) start at 12pm?"
"GQ35Z","111","spring18","lab-synch",16,"Any event that is on a positive sloped line intersecting 12pm or any event whose x-coordinate shifted to the left by their (y-coordinate divided by 2) is 12pm.","Please describe how to determine what event(s) start at 12pm?"
"WKBNA","111","spring18","lab-synch",16,"Start at 12 PM on the horizontal axis and then follow the line angled toward the right.","Please describe how to determine what event(s) start at 12pm?"
"F3GZE","111","spring18","lab-synch",16,"Start at 12 from the bottom of the graph (x-axis) and follow the line that goes up and towards the right.","Please describe how to determine what event(s) start at 12pm?"
"X9PTQ","111","spring18","lab-synch",16,"By looking at the X axis of the graph","Please describe how to determine what event(s) start at 12pm?"
"J1JP6","111","spring18","lab-synch",16,"I would look along the x- axis until i see 12pm. Then I look up the y-axis to see which shift would begin at that time.","Please describe how to determine what event(s) start at 12pm?"
"38NFJ","121","spring18","lab-synch",16,"took me a few questions to figure out but the left corner of the equilateral triangle (positioning the letter at the top) is where the time starts and the right corner is where the time ends. So I figure out what triangles' lower corner is positioned at 12pm","Please describe how to determine what event(s) start at 12pm?"
"QGQ61","121","spring18","lab-synch",16,"An event's start time is shown by the diagonal connection down to the left side at the data point 12PM on the time of day axis.","Please describe how to determine what event(s) start at 12pm?"
"R06S6","121","spring18","lab-synch",16,"look at the x axis until you hit 12pm and then look up at the dots that lie on it","Please describe how to determine what event(s) start at 12pm?"
"808YR","121","spring18","lab-synch",16,"on the x axis go to 12 pm and move upwards until reaching a letter indicating an event that is happening at 12pm","Please describe how to determine what event(s) start at 12pm?"
"VSHHA","121","spring18","lab-synch",16,"Must in the line for 12 and Duration less than four","Please describe how to determine what event(s) start at 12pm?"
"H2N27","121","spring18","lab-synch",16,"The left side of the line hits the 12 Pm point on the x axis","Please describe how to determine what event(s) start at 12pm?"
"6Y93F","111","spring18","lab-synch",16,"By looking at the x axis and seeing which point coincides with the time 12pm","Please describe how to determine what event(s) start at 12pm?"
"H1RGT","121","spring18","lab-synch",16,"You go to 12 p.m. on the x-axis and then follow the right diagonal line until you see a letter(shift). In this case it'd be M and L.","Please describe how to determine what event(s) start at 12pm?"
"MOWH2","121","spring18","lab-synch",16,"The black dots indicate the start time
","Please describe how to determine what event(s) start at 12pm?"
"FSWW4","121","spring18","lab-synch",16,"you start at twelve then follow the right slanted line to M and L all the way up the pyramid
","Please describe how to determine what event(s) start at 12pm?"
"VT5BG","121","spring18","lab-synch",16,"Which ever shift is diagonally connected to the 12pm on the x-axis","Please describe how to determine what event(s) start at 12pm?"
"39GMD","121","spring18","lab-synch",16,"I use the mouse to line up where a letter and the time meet on the graph","Please describe how to determine what event(s) start at 12pm?"
"YP2FK","121","spring18","lab-synch",16,"Tracing the line from 12 pm on the x-axis vertically up to notice B and F
","Please describe how to determine what event(s) start at 12pm?"
"ZKB08","121","spring18","lab-synch",16,"You find 12pm on the x-axis and then you see if there are any points that are directly above the 12pm increment to see if any shifts start then. To find out when a break is taking place at 12pm you test one's shift by dividing their duration by 2 and adding that to when they started their shift. If the answer is 12 pm then thats when their break is.","Please describe how to determine what event(s) start at 12pm?"
