"subject","study","term","pool","mode","condition","pretty_condition","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","answer","rt_s"
"8TG97","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",9.33061666666667,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",11.386
"8TG97","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",9.55266666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",9.967
"8TG97","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",10.0542833333333,"Which shift(s) begin when C ends?","meets","3","FALSE","A",29.865
"8TG97","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",10.3727333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE","U",16.719
"8TG97","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",11.0282666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","I",38.505
"8TG97","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_nondiscriminant",1,1,"3","",1,600,600,"triangular",11.3076333333333,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",8.53
"8TG97","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",11.6213,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F",17.917
"8TG97","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",12.2834166666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","I,J",37.535
"8TG97","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_nondiscriminant",1,1,"3","",1,600,600,"triangular",12.9549,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE","E,I",26.882
"8TG97","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",13.5624166666667,"Which shift(s) end at the same time as F?","ends","10","FALSE","B",32.534
"8TG97","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",13.8244833333333,"Which shift(s) start at 12pm?","starttime","11","FALSE","B,F",15.026
"8TG97","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",13.9515833333333,"Which shift(s) start at the same time as F?","starts","12","FALSE","B",6.768
"8TG97","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_nondiscriminant",1,1,"3","",1,600,600,"triangular",14.5235166666667,"Which 2 shifts end when Z begins?","meets","13","FALSE","B,F",29.477
"8TG97","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",15.0104,"Which shift(s) end at 3pm?","endtime","14","FALSE","M",25.727
"8TG97","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",16.0192333333333,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","F,J",59.073
"TQ3BM","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",23.5497333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",9.274
"TQ3BM","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",23.6878333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE","J",8.184
"TQ3BM","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",24.4809666666667,"Which shift(s) begin when C ends?","meets","3","FALSE","B",47.481
"TQ3BM","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",24.9675166666667,"Which shift(s) end at 4 pm?","endtime","4","FALSE","E",29.085
"TQ3BM","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",26.1033833333333,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE","O",68.045
"TQ3BM","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_nondiscriminant",1,1,"3","",1,600,600,"triangular",26.92195,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",35.916
"TQ3BM","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",27.5401166666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F",36.979
"TQ3BM","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",28.1284666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","M",35.215
"TQ3BM","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_nondiscriminant",1,1,"3","",1,600,600,"triangular",28.8610333333333,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",43.852
"TQ3BM","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",28.978,"Which shift(s) end at the same time as F?","ends","10","FALSE","B",6.909
"TQ3BM","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",29.0901833333333,"Which shift(s) start at 12pm?","starttime","11","FALSE","B,F",6.629
"TQ3BM","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",29.29765,"Which shift(s) start at the same time as F?","starts","12","FALSE","B",12.345
"TQ3BM","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_nondiscriminant",1,1,"3","",1,600,600,"triangular",30.0071333333333,"Which 2 shifts end when Z begins?","meets","13","FALSE","H,N",42.468
"TQ3BM","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",30.3060166666667,"Which shift(s) end at 3pm?","endtime","14","TRUE","X",17.822
"TQ3BM","SGC4A","summer22","sona","asynch","113","Tri-Sparse","item_test",1,1,"3","",1,600,600,"triangular",31.4585666666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","B,F",69.041
"3EXU1","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",2.90845,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",12.236
"3EXU1","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",3.15078333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",14.46
"3EXU1","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",3.34166666666667,"Which shift(s) begin when C ends?","meets","3","FALSE","A",11.38
"3EXU1","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",3.55436666666667,"Which shift(s) end at 4 pm?","endtime","4","FALSE","D,E",12.678
"3EXU1","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",4.43455,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","F",52.746
"3EXU1","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_nondiscriminant",1,1,"5","",1,600,600,"triangular",4.89773333333333,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",19.099
"3EXU1","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",5.13321666666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","F,Z",14.056
"3EXU1","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",5.98906666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","I",51.281
"3EXU1","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_nondiscriminant",1,1,"5","",1,600,600,"triangular",6.76426666666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",46.443
"3EXU1","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",7.05783333333333,"Which shift(s) end at the same time as F?","ends","10","FALSE","F",17.544
"3EXU1","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",7.42088333333333,"Which shift(s) start at 12pm?","starttime","11","FALSE","B,F",21.709
"3EXU1","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",7.60343333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE","B",10.883
"3EXU1","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_nondiscriminant",1,1,"5","",1,600,600,"triangular",7.99878333333333,"Which 2 shifts end when Z begins?","meets","13","FALSE","J,X",23.657
"3EXU1","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",8.63485,"Which shift(s) end at 3pm?","endtime","14","FALSE","B",38.1
"3EXU1","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",9.02953333333333,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","F",23.61
"TMWNK","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",4.14703333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",12.852
"TMWNK","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",4.32888333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",10.808
"TMWNK","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",4.82246666666667,"Which shift(s) begin when C ends?","meets","3","FALSE","Z",29.5
"TMWNK","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",5.7725,"Which shift(s) end at 4 pm?","endtime","4","FALSE","U",56.887
"TMWNK","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",6.32738333333333,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","U",33.186
"TMWNK","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_nondiscriminant",1,1,"5","",1,600,600,"triangular",6.65935,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",12.244
"TMWNK","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",7.09246666666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F",25.88
"TMWNK","SGC4A","summer22","sona","asynch","115","Orth-Grid","item_test",1,1,"5","",1,600,600,"triangular",7.79066666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","E",41.788
