"subject","study","term","pool","mode","condition","pretty_condition","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","answer","rt_s"
"WE2OF","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_scaffold","3","2",1,1,1,600,600,"triangular",1.8312,"Which shift(s) start at 11 am?","starttime","1","TRUE","F",40.1
"WE2OF","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_scaffold","3","2",1,1,1,600,600,"triangular",1.97766666666667,"Which shift(s) start at the same time as D?","starts","2","TRUE","K",8.726
"WE2OF","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_scaffold","3","2",1,1,1,600,600,"triangular",2.10848333333333,"Which shift(s) begin when C ends?","meets","3","TRUE","F",7.796
"WE2OF","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_scaffold","3","2",1,1,1,600,600,"triangular",2.27478333333333,"Which shift(s) end at 4 pm?","endtime","4","TRUE","H",9.924
"WE2OF","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_scaffold","3","2",1,1,1,600,600,"triangular",3.57353333333333,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE","A",77.874
"WE2OF","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_nondiscriminant","1","1",1,1,1,600,600,"triangular",3.91241666666667,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",13.895
"WE2OF","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_test","1","1",1,1,1,600,600,"triangular",4.3087,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","TRUE","O,X",23.721
"WE2OF","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_test","1","1",1,1,1,600,600,"triangular",5.4232,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","TRUE","G",66.814
"WE2OF","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_nondiscriminant","1","1",1,1,1,600,600,"triangular",7.35445,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",115.737
"WE2OF","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_test","1","1",1,1,1,600,600,"triangular",7.48408333333333,"Which shift(s) end at the same time as F?","ends","10","TRUE","E",7.664
"WE2OF","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_test","1","1",1,1,1,600,600,"triangular",7.63635,"Which shift(s) start at 12pm?","starttime","11","TRUE","L,M",9.093
"WE2OF","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_test","1","1",1,1,1,600,600,"triangular",7.74888333333333,"Which shift(s) start at the same time as F?","starts","12","TRUE","G",6.7
"WE2OF","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_nondiscriminant","1","1",1,1,1,600,600,"triangular",7.9617,"Which 2 shifts end when Z begins?","meets","13","TRUE","E,F",12.717
"WE2OF","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_test","1","1",1,1,1,600,600,"triangular",8.08231666666667,"Which shift(s) end at 3pm?","endtime","14","TRUE","X",7.188
"WE2OF","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_test","1","1",1,1,1,600,600,"triangular",8.40428333333333,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","TRUE","K,X",19.268
"DG6N8","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_scaffold","3","2",1,1,1,600,600,"triangular",2.0623,"Which shift(s) start at 11 am?","starttime","1","FALSE","O",15.377
"DG6N8","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_scaffold","3","2",1,1,1,600,600,"triangular",2.61268333333333,"Which shift(s) start at the same time as D?","starts","2","TRUE","K",32.999
"DG6N8","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_scaffold","3","2",1,1,1,600,600,"triangular",2.888,"Which shift(s) begin when C ends?","meets","3","FALSE","",16.485
"DG6N8","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_scaffold","3","2",1,1,1,600,600,"triangular",3.4405,"Which shift(s) end at 4 pm?","endtime","4","FALSE","O,F",33.119
"DG6N8","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_scaffold","3","2",1,1,1,600,600,"triangular",4.16666666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE","A",43.548
"DG6N8","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_nondiscriminant","1","1",1,1,1,600,600,"triangular",4.59058333333333,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",23.964
"DG6N8","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_test","1","1",1,1,1,600,600,"triangular",5.0832,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","",29.521
"DG6N8","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_test","1","1",1,1,1,600,600,"triangular",7.1789,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","A,G,K",125.715
"DG6N8","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_nondiscriminant","1","1",1,1,1,600,600,"triangular",7.50663333333333,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE","E,I",19.604
"DG6N8","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_test","1","1",1,1,1,600,600,"triangular",7.77768333333333,"Which shift(s) end at the same time as F?","ends","10","TRUE","E",16.235
"DG6N8","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_test","1","1",1,1,1,600,600,"triangular",7.99845,"Which shift(s) start at 12pm?","starttime","11","TRUE","L,M",13.215
"DG6N8","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_test","1","1",1,1,1,600,600,"triangular",13.7437833333333,"Which shift(s) start at the same time as F?","starts","12","TRUE","G",344.695
"DG6N8","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_nondiscriminant","1","1",1,1,1,600,600,"triangular",13.94195,"Which 2 shifts end when Z begins?","meets","13","TRUE","E,F",11.827
"DG6N8","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_test","1","1",1,1,1,600,600,"triangular",15.8007833333333,"Which shift(s) end at 3pm?","endtime","14","TRUE","X",111.503
"DG6N8","SGC3B","summer22","prolific","asynch","321","ixv-impasse","item_test","1","1",1,1,1,600,600,"triangular",16.7986333333333,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","TRUE","K,X",59.811
