"subject","study","term","pool","mode","condition","pretty_condition","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","answer","rt_s"
"G8EED","SGC3B","summer22","prolific","asynch","211","img-control","item_scaffold","2","1",1,1,1,600,600,"triangular",1.4321,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",12.374
"G8EED","SGC3B","summer22","prolific","asynch","211","img-control","item_scaffold","2","1",1,1,1,600,600,"triangular",1.72508333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",17.504
"G8EED","SGC3B","summer22","prolific","asynch","211","img-control","item_scaffold","2","1",1,1,1,600,600,"triangular",2.27146666666667,"Which shift(s) begin when C ends?","meets","3","FALSE","Z",32.708
"G8EED","SGC3B","summer22","prolific","asynch","211","img-control","item_scaffold","2","1",1,1,1,600,600,"triangular",2.47976666666667,"Which shift(s) end at 4 pm?","endtime","4","FALSE","E",12.413
"G8EED","SGC3B","summer22","prolific","asynch","211","img-control","item_scaffold","2","1",1,1,1,600,600,"triangular",3.12041666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE","O",38.364
"G8EED","SGC3B","summer22","prolific","asynch","211","img-control","item_nondiscriminant","1","1",1,1,1,600,600,"triangular",3.35851666666667,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",8.708
"G8EED","SGC3B","summer22","prolific","asynch","211","img-control","item_test","1","1",1,1,1,600,600,"triangular",3.75363333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F",23.625
"G8EED","SGC3B","summer22","prolific","asynch","211","img-control","item_test","1","1",1,1,1,600,600,"triangular",4.21745,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","E,I,J",27.745
"G8EED","SGC3B","summer22","prolific","asynch","211","img-control","item_nondiscriminant","1","1",1,1,1,600,600,"triangular",4.9024,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE","E",41.019
"G8EED","SGC3B","summer22","prolific","asynch","211","img-control","item_test","1","1",1,1,1,600,600,"triangular",5.35783333333333,"Which shift(s) end at the same time as F?","ends","10","FALSE","B",27.248
"G8EED","SGC3B","summer22","prolific","asynch","211","img-control","item_test","1","1",1,1,1,600,600,"triangular",5.5897,"Which shift(s) start at 12pm?","starttime","11","FALSE","B,F",13.852
"G8EED","SGC3B","summer22","prolific","asynch","211","img-control","item_test","1","1",1,1,1,600,600,"triangular",5.74736666666667,"Which shift(s) start at the same time as F?","starts","12","FALSE","B",9.322
"G8EED","SGC3B","summer22","prolific","asynch","211","img-control","item_nondiscriminant","1","1",1,1,1,600,600,"triangular",6.058,"Which 2 shifts end when Z begins?","meets","13","FALSE","H,L,P",18.568
